sample.date,exp.plate,t.exp,time.hr,bio.rep,veg.ml,spore.ml,cell.ml,perc.spore
WED12,plt2,T28,28,br1,137690400,1110595854,1248286254,88.96964541916681
WED12,plt2,T28,28,br2,139623460,999959906,1139583366,87.74785029636875
WED12,plt2,T28,28,br3,140106960,1131444381,1271551341,88.98141541891543
WED12,plt2,T28,28,br4,203984402,1013062237,1217046639,83.23939317825929
WED12,plt3,T20,20,br1,263841364,1080697533,1344538897,80.37681434217369
WED12,plt3,T20,20,br2,356954958,822358412,1179313370,69.73196717001521
WED12,plt3,T20,20,br3,341538801,819108309,1160647110,70.5734156353519
WED12,plt3,T20,20,br4,419124259,829427830,1248552089,66.4311755438503
WED14,plt1,T40,40,br1,102342309,1153713797,1256056106,91.8520909606565
WED14,plt1,T40,40,br2,193587220,1484388747,1677975967,88.4630516880341
WED14,plt1,T40,40,br3,159421918,1374959614,1534381532,89.61002106221909
WED14,plt1,T40,40,br4,285931152,1403009559,1688940711,83.07038547074255
WED14,plt2,T30,30,br1,108203512,1047630543,1155834055,90.63849074770513
WED14,plt2,T30,30,br2,135089873,940875475,1075965348,87.444774754958
WED14,plt2,T30,30,br3,157401397,1141106783,1298508180,87.87828991574008
WED14,plt2,T30,30,br4,252935186,1099021679,1351956865,81.2911792862563
WED14,plt3,T22,22,br1,320308307,950184094,1270492401,74.78864834233669
WED14,plt3,T22,22,br2,363307079,1032401601,1395708680,73.969705554887
WED14,plt3,T22,22,br3,397263447,1089637790,1486901237,73.28245904203253
WED14,plt3,T22,22,br4,444207324,1188627722,1632835046,72.79533379148208
WED16,plt1,T42,42,br1,117411166,1102785209,1220196375,90.37768277257831
WED16,plt1,T42,42,br2,220002777,1522146754,1742149531,87.37176269400264
WED16,plt1,T42,42,br3,230916932,1643861008,1874777940,87.68297156302148
WED16,plt1,T42,42,br4,344488562,1584704328,1929192890,82.14338422115996
WED16,plt2,T32,32,br1,135908937,1063201676,1199110613,88.66585488223012
WED16,plt2,T32,32,br2,185606836,1206601119,1392207955,86.66816725666533
WED16,plt2,T32,32,br3,136821447,935055499,1071876946,87.23534007232954
WED16,plt2,T32,32,br4,339389450,1286702186,1626091636,79.12851634641825
WED16,plt3,T24,24,br1,261892571,1500141803,1762034374,85.13692043331272
WED16,plt3,T24,24,br2,314716725,1193424684,1508141409,79.13214748153632
WED16,plt3,T24,24,br3,269609444,1074802440,1344411884,79.94591931173379
WED16,plt3,T24,24,br4,431631441,1211228458,1642859899,73.72682592942151
