Time,Temp.,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
2:42:25,37,0.087,0.088,0.088,0.13,0.09,0.089,0.13,0.088,0.092,0.186,0.083,0.086,0.085,0.085,0.084,0.084,0.084,0.086,0.086,0.087,0.088,0.086,0.087,0.085,0.088,0.084,0.083,0.082,0.083,0.086,0.083,0.083,0.083,0.086,0.088,0.084,0.188,0.089,0.088,0.2,0.088,0.088,0.157,0.088,0.088,0.149,0.088,0.088,0.086,0.084,0.083,0.083,0.082,0.084,0.083,0.084,0.086,0.087,0.087,0.088,0.087,0.085,0.084,0.082,0.082,0.084,0.087,0.086,0.086,0.091,0.092,0.091,0.162,0.089,0.088,0.19,0.088,0.089,0.179,0.088,0.089,0.186,0.084,0.086,0.084,0.085,0.087,0.085,0.086,0.086,0.085,0.085,0.085,0.084,0.084,0.086
2:57:25,37,0.087,0.088,0.088,0.165,0.09,0.089,0.165,0.088,0.091,0.224,0.083,0.088,0.085,0.085,0.084,0.084,0.084,0.087,0.086,0.087,0.088,0.086,0.088,0.085,0.088,0.083,0.083,0.082,0.083,0.086,0.083,0.083,0.085,0.085,0.088,0.083,0.25,0.089,0.088,0.224,0.088,0.088,0.159,0.088,0.088,0.21,0.088,0.088,0.086,0.084,0.083,0.083,0.082,0.083,0.083,0.084,0.086,0.088,0.087,0.088,0.087,0.085,0.084,0.082,0.083,0.084,0.086,0.086,0.086,0.091,0.092,0.091,0.202,0.089,0.088,0.228,0.088,0.088,0.24,0.088,0.088,0.191,0.084,0.086,0.084,0.085,0.087,0.085,0.086,0.086,0.085,0.085,0.084,0.084,0.084,0.086
3:12:25,37,0.088,0.088,0.088,0.229,0.09,0.089,0.224,0.088,0.092,0.253,0.083,0.089,0.085,0.085,0.085,0.084,0.085,0.088,0.086,0.088,0.088,0.086,0.088,0.086,0.088,0.084,0.083,0.082,0.083,0.084,0.084,0.083,0.087,0.086,0.088,0.084,0.322,0.089,0.089,0.323,0.088,0.088,0.269,0.088,0.088,0.228,0.088,0.088,0.086,0.084,0.083,0.083,0.082,0.084,0.083,0.085,0.087,0.088,0.087,0.088,0.087,0.085,0.084,0.083,0.083,0.084,0.086,0.086,0.087,0.092,0.092,0.091,0.267,0.089,0.088,0.322,0.088,0.089,0.263,0.089,0.088,0.285,0.084,0.086,0.085,0.085,0.087,0.085,0.087,0.086,0.086,0.085,0.085,0.084,0.085,0.086
3:27:25,37,0.088,0.088,0.088,0.252,0.09,0.089,0.247,0.088,0.092,0.281,0.084,0.088,0.085,0.086,0.085,0.084,0.085,0.088,0.086,0.088,0.088,0.086,0.087,0.086,0.088,0.084,0.083,0.082,0.083,0.084,0.084,0.083,0.088,0.086,0.087,0.084,0.346,0.089,0.089,0.415,0.088,0.088,0.348,0.088,0.088,0.28,0.087,0.088,0.086,0.084,0.083,0.083,0.082,0.084,0.083,0.085,0.086,0.088,0.087,0.088,0.087,0.085,0.085,0.083,0.083,0.084,0.087,0.087,0.087,0.091,0.092,0.091,0.344,0.089,0.088,0.376,0.088,0.089,0.347,0.089,0.088,0.314,0.085,0.086,0.084,0.085,0.087,0.085,0.087,0.086,0.086,0.086,0.085,0.084,0.084,0.086
3:42:25,37,0.088,0.088,0.088,0.298,0.09,0.089,0.293,0.088,0.091,0.31,0.083,0.087,0.085,0.086,0.085,0.084,0.085,0.088,0.087,0.088,0.088,0.086,0.087,0.086,0.088,0.084,0.083,0.083,0.083,0.085,0.084,0.083,0.088,0.086,0.087,0.084,0.437,0.089,0.088,0.441,0.088,0.088,0.39,0.088,0.088,0.33,0.087,0.088,0.086,0.084,0.083,0.083,0.082,0.084,0.084,0.085,0.087,0.088,0.087,0.088,0.087,0.085,0.085,0.083,0.082,0.085,0.087,0.086,0.087,0.091,0.092,0.091,0.393,0.089,0.088,0.415,0.088,0.088,0.35,0.088,0.088,0.352,0.085,0.086,0.085,0.085,0.088,0.085,0.087,0.086,0.086,0.086,0.085,0.084,0.085,0.086
3:57:25,37,0.088,0.088,0.088,0.317,0.09,0.089,0.318,0.088,0.091,0.331,0.083,0.086,0.085,0.086,0.085,0.084,0.085,0.088,0.087,0.089,0.088,0.086,0.087,0.086,0.088,0.084,0.083,0.082,0.083,0.084,0.084,0.084,0.088,0.085,0.089,0.084,0.472,0.089,0.089,0.481,0.088,0.088,0.437,0.088,0.088,0.379,0.087,0.088,0.086,0.084,0.083,0.084,0.083,0.084,0.084,0.085,0.087,0.088,0.087,0.088,0.087,0.085,0.085,0.083,0.083,0.092,0.088,0.087,0.086,0.092,0.093,0.091,0.389,0.089,0.088,0.452,0.088,0.089,0.375,0.088,0.088,0.408,0.085,0.086,0.085,0.086,0.088,0.085,0.087,0.087,0.086,0.086,0.085,0.085,0.084,0.086
4:12:25,37,0.088,0.088,0.088,0.375,0.09,0.089,0.358,0.088,0.091,0.37,0.083,0.088,0.085,0.086,0.085,0.084,0.086,0.088,0.087,0.089,0.089,0.086,0.087,0.086,0.088,0.084,0.083,0.083,0.083,0.084,0.084,0.084,0.088,0.086,0.088,0.084,0.533,0.089,0.089,0.498,0.088,0.088,0.469,0.088,0.088,0.416,0.087,0.088,0.086,0.085,0.084,0.084,0.083,0.085,0.084,0.085,0.088,0.088,0.088,0.088,0.087,0.085,0.085,0.083,0.083,0.092,0.088,0.087,0.086,0.092,0.092,0.091,0.414,0.089,0.088,0.492,0.088,0.089,0.395,0.088,0.088,0.457,0.085,0.086,0.085,0.086,0.088,0.085,0.087,0.087,0.087,0.087,0.086,0.085,0.084,0.086
4:27:25,37,0.088,0.088,0.088,0.411,0.089,0.089,0.405,0.088,0.092,0.382,0.084,0.089,0.085,0.086,0.085,0.084,0.086,0.088,0.086,0.089,0.089,0.086,0.087,0.086,0.087,0.084,0.083,0.083,0.083,0.084,0.084,0.084,0.088,0.086,0.087,0.084,0.58,0.089,0.088,0.532,0.088,0.088,0.508,0.088,0.088,0.425,0.087,0.088,0.086,0.085,0.084,0.084,0.083,0.085,0.084,0.085,0.087,0.088,0.088,0.087,0.087,0.085,0.085,0.083,0.085,0.094,0.089,0.087,0.087,0.092,0.092,0.091,0.451,0.089,0.088,0.484,0.088,0.088,0.399,0.088,0.088,0.511,0.085,0.086,0.085,0.086,0.088,0.085,0.087,0.087,0.087,0.087,0.086,0.085,0.084,0.086
4:42:25,37,0.088,0.088,0.088,0.434,0.09,0.089,0.425,0.088,0.092,0.39,0.084,0.088,0.085,0.086,0.085,0.085,0.086,0.089,0.087,0.089,0.089,0.086,0.088,0.086,0.088,0.084,0.084,0.083,0.084,0.084,0.084,0.084,0.089,0.086,0.088,0.084,0.577,0.089,0.089,0.549,0.088,0.088,0.54,0.088,0.088,0.45,0.088,0.089,0.086,0.085,0.084,0.084,0.083,0.085,0.085,0.085,0.087,0.088,0.088,0.088,0.088,0.085,0.085,0.084,0.084,0.085,0.089,0.087,0.087,0.09,0.092,0.091,0.459,0.089,0.088,0.56,0.088,0.089,0.411,0.089,0.089,0.527,0.085,0.086,0.085,0.086,0.088,0.085,0.087,0.087,0.087,0.087,0.086,0.086,0.084,0.087
4:57:25,37.1,0.088,0.088,0.088,0.457,0.09,0.089,0.448,0.088,0.092,0.418,0.084,0.089,0.085,0.086,0.085,0.085,0.086,0.089,0.087,0.088,0.089,0.086,0.088,0.086,0.088,0.084,0.083,0.083,0.083,0.084,0.084,0.084,0.088,0.085,0.087,0.084,0.581,0.089,0.089,0.557,0.088,0.088,0.559,0.088,0.088,0.469,0.086,0.089,0.086,0.085,0.084,0.084,0.083,0.085,0.085,0.086,0.087,0.088,0.087,0.088,0.087,0.085,0.085,0.084,0.083,0.086,0.088,0.087,0.087,0.092,0.093,0.091,0.469,0.089,0.088,0.524,0.088,0.089,0.459,0.088,0.089,0.572,0.085,0.086,0.085,0.086,0.088,0.085,0.088,0.087,0.087,0.087,0.087,0.086,0.084,0.086
