"day"	"cell"	"techrep"	"biorep"	"well"	"order"	"sample"	"Curve"	"b0"	"b0.se"	"A"	"A.se"	"umax"	"umax.se"	"L"	"L.se"	"RSME"	"CV"	"outlier"	"gen"
10	"nm"	1	3	"E2"	32	"NM_g66_pop3_rep1"	"E2"	0.9115	0.00611	0.764	0.02392	0.1206	0.00514	5.3021	0.1496	0.0245	1.886	0	67
30	"nm"	1	3	"E3"	33	"NM_g200_pop3_rep1"	"E3"	0.9172	0.01353	0.8408	0.02059	0.1086	0.00712	4.6522	0.30959	0.0513	3.594	0	200
50	"nm"	1	3	"E4"	34	"NM_g333_pop3_rep1"	"E4"	0.9455	0.01205	0.7382	0.0153	0.161	0.01203	6.1415	0.24693	0.0545	3.883	0	333
80	"nm"	1	3	"E5"	35	"NM_g533_pop3_rep1"	"E5"	0.9298	0.00527	0.6776	0.00793	0.1339	0.0059	8.2383	0.14501	0.0282	2.197	0	533
120	"nm"	1	3	"E6"	36	"NM_g799_pop3_rep1"	"E6"	0.9179	0.00362	0.7596	0.00973	0.1242	0.00294	5.2916	0.08286	0.015	1.221	0	799
160	"nm"	1	3	"E7"	37	"NM_g1065_pop3_rep1"	"E7"	0.909	0.01131	0.8529	0.01901	0.0994	0.00536	5.0556	0.27597	0.0449	3.217	1	1065
220	"nm"	1	3	"E8"	38	"NM_g1464_pop3_rep1"	"E8"	0.9186	0.00814	0.8452	0.01278	0.1274	0.00599	6.6326	0.19102	0.0383	2.767	0	1464
260	"nm"	1	3	"E9"	39	"NM_g1731_pop3_rep1"	"E9"	0.9292	0.00621	0.7425	0.00936	0.1518	0.00733	8.576	0.15622	0.0339	2.586	0	1731
300	"nm"	1	3	"E10"	40	"NM_g1997_pop3_rep1"	"E10"	0.9641	0.00812	0.7514	0.0112	0.1727	0.01065	7.7529	0.18497	0.0418	3.018	0	1997
10	"nm"	2	3	"F2"	41	"NM_g66_pop3_rep2"	"F2"	0.9147	0.00599	0.7884	0.0287	0.1141	0.00454	5.205	0.14828	0.0233	1.794	0	67
30	"nm"	2	3	"F3"	42	"NM_g200_pop3_rep2"	"F3"	0.9118	0.01324	0.8731	0.0211	0.1008	0.00572	4.4545	0.30392	0.0482	3.371	0	200
50	"nm"	2	3	"F4"	43	"NM_g333_pop3_rep2"	"F4"	0.9532	0.01118	0.7092	0.01395	0.1735	0.01284	6.3078	0.22268	0.0518	3.708	0	333
80	"nm"	2	3	"F5"	44	"NM_g533_pop3_rep2"	"F5"	0.9205	0.00605	0.69	0.00957	0.1249	0.00631	8.1013	0.17328	0.032	2.507	0	533
120	"nm"	2	3	"F6"	45	"NM_g799_pop3_rep2"	"F6"	0.9289	0.00487	0.7271	0.01008	0.1414	0.00471	5.1612	0.10441	0.0201	1.6	0	799
160	"nm"	2	3	"F7"	46	"NM_g1065_pop3_rep2"	"F7"	0.9069	0.01428	0.883	0.0238	0.0965	0.0058	4.3259	0.33336	0.0511	3.583	0	1065
220	"nm"	2	3	"F8"	47	"NM_g1464_pop3_rep2"	"F8"	0.9363	0.00788	0.8329	0.01154	0.1488	0.00738	6.8522	0.1727	0.0382	2.711	0	1464
260	"nm"	2	3	"F9"	48	"NM_g1731_pop3_rep2"	"F9"	0.9422	0.00724	0.7887	0.01094	0.1499	0.00774	8.0721	0.17864	0.0378	2.787	0	1731
300	"nm"	2	3	"F10"	49	"NM_g1997_pop3_rep2"	"F10"	0.9504	0.00709	0.7935	0.0102	0.1895	0.01069	8.4704	0.15729	0.0386	2.81	0	1997
10	"nm"	3	3	"G2"	50	"NM_g66_pop3_rep3"	"G2"	0.9235	0.00634	0.7945	0.02659	0.12	0.00513	5.433	0.15529	0.0255	1.943	0	67
30	"nm"	3	3	"G3"	51	"NM_g200_pop3_rep3"	"G3"	0.9262	0.01739	0.8674	0.02387	0.1433	0.01334	4.6575	0.34465	0.067	4.503	0	200
50	"nm"	3	3	"G4"	52	"NM_g333_pop3_rep3"	"G4"	0.9608	0.01148	0.7252	0.01439	0.1782	0.01361	6.4236	0.22986	0.0534	3.782	0	333
80	"nm"	3	3	"G5"	53	"NM_g533_pop3_rep3"	"G5"	0.9278	0.00513	0.7984	0.00853	0.109	0.00325	6.6927	0.1317	0.0243	1.796	0	533
120	"nm"	3	3	"G6"	54	"NM_g799_pop3_rep3"	"G6"	0.9305	0.00498	0.7423	0.01206	0.1194	0.00373	4.8026	0.1165	0.019	1.515	0	799
160	"nm"	3	3	"G7"	55	"NM_g1065_pop3_rep3"	"G7"	0.9214	0.01982	0.9028	0.02764	0.1205	0.00956	3.6594	0.38708	0.0637	4.212	0	1065
220	"nm"	3	3	"G8"	56	"NM_g1464_pop3_rep3"	"G8"	0.9341	0.01131	0.8667	0.01752	0.1161	0.00656	5.3519	0.26052	0.0461	3.201	0	1464
260	"nm"	3	3	"G9"	57	"NM_g1731_pop3_rep3"	"G9"	0.9372	0.00594	0.7686	0.00901	0.1319	0.00521	7.435	0.14659	0.03	2.218	0	1731
300	"nm"	3	3	"G10"	58	"NM_g1997_pop3_rep3"	"G10"	0.9576	0.00785	0.7486	0.01055	0.174	0.01005	7.3219	0.17172	0.0393	2.823	0	1997
0	"nm"	1	4	"B2"	2	"NM_g0_pop4_rep1"	"B2"	0.8829	0.00348	0.7884	0.00662	0.1057	0.00224	7.2918	0.09585	0.0171	1.353	0	0
20	"nm"	1	4	"B3"	3	"NM_g133_pop4_rep1"	"B3"	0.926	0.00483	0.7564	0.00788	0.0981	0.00255	5.3602	0.12333	0.02	1.488	0	133
40	"nm"	1	4	"B4"	4	"NM_g266_pop4_rep1"	"B4"	0.9357	0.00701	0.6775	0.00946	0.1346	0.00678	5.5414	0.163	0.0303	2.237	0	266
60	"nm"	1	4	"B5"	5	"NM_g399_pop4_rep1"	"B5"	0.9309	0.00455	0.7845	0.00695	0.1309	0.00367	6.4426	0.10407	0.0214	1.569	0	399
100	"nm"	1	4	"B6"	6	"NM_g666_pop4_rep1"	"B6"	0.9427	0.00778	0.8554	0.01035	0.2028	0.00995	6.2927	0.13605	0.0364	2.493	0	666
140	"nm"	1	4	"B7"	7	"NM_g932_pop4_rep1"	"B7"	0.9357	0.00964	0.9054	0.01345	0.1512	0.00699	5.0672	0.17418	0.0396	2.657	0	932
200	"nm"	1	4	"B8"	8	"NM_g1331_pop4_rep1"	"B8"	0.9425	0.00674	0.5968	0.00958	0.1039	0.00485	5.4871	0.19102	0.0276	2.128	0	1331
240	"nm"	1	4	"B9"	9	"NM_g1598_pop4_rep1"	"B9"	0.9336	0.00539	0.5832	0.01349	0.0975	0.00471	6.0324	0.17454	0.0234	1.908	0	1598
280	"nm"	1	4	"B10"	10	"NM_g1864_pop4_rep1"	"B10"	0.9599	0.00673	0.5983	0.01359	0.0945	0.00492	5.5676	0.21562	0.027	2.102	0	1864
1000	"jcvi"	1	4	"B11"	11	"NM_jcvi_pop4_rep1"	"B11"	0.9542	0.00438	0.7231	0.00785	0.145	0.00571	9.5026	0.12162	0.0254	1.995	0	6657
0	"nm"	2	4	"C2"	12	"NM_g0_pop4_rep2"	"C2"	0.9126	0.00311	0.7896	0.00582	0.1026	0.00186	6.839	0.08438	0.0147	1.131	0	0
20	"nm"	2	4	"C3"	13	"NM_g133_pop4_rep2"	"C3"	0.9326	0.00762	0.707	0.01107	0.1159	0.00577	5.3428	0.18788	0.032	2.359	0	133
40	"nm"	2	4	"C4"	14	"NM_g266_pop4_rep2"	"C4"	0.9297	0.00752	0.7082	0.01028	0.1335	0.00679	5.3617	0.17046	0.0318	2.33	0	266
60	"nm"	2	4	"C5"	15	"NM_g399_pop4_rep2"	"C5"	0.9253	0.00557	0.7238	0.00875	0.1147	0.00431	6.2003	0.14266	0.0255	1.925	0	399
100	"nm"	2	4	"C6"	16	"NM_g666_pop4_rep2"	"C6"	0.9258	0.00515	0.8039	0.00756	0.1418	0.0043	6.5144	0.1103	0.0244	1.775	0	666
140	"nm"	2	4	"C7"	17	"NM_g932_pop4_rep2"	"C7"	0.9345	0.00956	0.8718	0.01229	0.1652	0.00741	4.8359	0.16101	0.0381	2.55	0	932
200	"nm"	2	4	"C8"	18	"NM_g1331_pop4_rep2"	"C8"	0.9329	0.0053	0.7324	0.01514	0.1322	0.00572	6.7006	0.13773	0.0249	1.925	0	1331
240	"nm"	2	4	"C9"	19	"NM_g1598_pop4_rep2"	"C9"	0.9278	0.00458	0.5398	0.01126	0.0941	0.00432	6.3815	0.15805	0.0208	1.736	0	1598
280	"nm"	2	4	"C10"	20	"NM_g1864_pop4_rep2"	"C10"	0.9339	0.0061	0.7511	0.01694	0.1237	0.00493	5.249	0.14251	0.0247	1.884	0	1864
1000	"jcvi"	2	4	"C11"	21	"NM_jcvi_pop4_rep2"	"C11"	0.9386	0.00348	0.709	0.00719	0.1154	0.00341	9.3815	0.10767	0.02	1.617	0	6657
0	"nm"	3	4	"D2"	22	"NM_g0_pop4_rep3"	"D2"	0.903	0.00259	0.7756	0.005	0.0903	0.00127	6.2819	0.0731	0.0116	0.9	1	0
20	"nm"	3	4	"D3"	23	"NM_g133_pop4_rep3"	"D3"	0.9265	0.0061	0.6677	0.00878	0.1159	0.00503	5.7374	0.15777	0.0267	2.02	0	133
40	"nm"	3	4	"D4"	24	"NM_g266_pop4_rep3"	"D4"	0.9292	0.00832	0.6873	0.01098	0.1452	0.00868	5.4754	0.18392	0.0357	2.628	0	266
60	"nm"	3	4	"D5"	25	"NM_g399_pop4_rep3"	"D5"	0.9148	0.00544	0.7128	0.00903	0.1073	0.00405	6.3479	0.14738	0.0253	1.949	0	399
100	"nm"	3	4	"D6"	26	"NM_g666_pop4_rep3"	"D6"	0.9245	0.0043	0.8027	0.00648	0.136	0.00346	6.5646	0.0945	0.0204	1.496	0	666
140	"nm"	3	4	"D7"	27	"NM_g932_pop4_rep3"	"D7"	0.9343	0.00537	0.8576	0.00824	0.1196	0.00304	5.3219	0.11303	0.0225	1.582	0	932
200	"nm"	3	4	"D8"	28	"NM_g1331_pop4_rep3"	"D8"	0.9236	0.00499	0.6345	0.01018	0.1316	0.00557	6.0149	0.1249	0.0226	1.772	0	1331
240	"nm"	3	4	"D9"	29	"NM_g1598_pop4_rep3"	"D9"	0.9329	0.00566	0.7111	0.01835	0.1281	0.00607	6.1719	0.14893	0.0252	1.984	0	1598
280	"nm"	3	4	"D10"	30	"NM_g1864_pop4_rep3"	"D10"	0.9308	0.00543	0.7099	0.01707	0.1209	0.0048	5.2131	0.13294	0.022	1.722	0	1864
1000	"jcvi"	3	4	"D11"	31	"NM_jcvi_pop4_rep3"	"D11"	0.9309	0.00432	0.7077	0.00773	0.1178	0.00393	8.4138	0.12355	0.0234	1.856	0	6657
10	"nm"	1	4	"E2"	32	"NM_g66_pop4_rep1"	"E2"	0.9068	0.00733	0.692	0.01071	0.1241	0.00673	5.91	0.18508	0.0327	2.493	0	67
30	"nm"	1	4	"E3"	33	"NM_g200_pop4_rep1"	"E3"	0.918	0.00659	0.7203	0.0093	0.1173	0.00466	5.0031	0.15355	0.0267	1.963	0	200
50	"nm"	1	4	"E4"	34	"NM_g333_pop4_rep1"	"E4"	0.9395	0.00626	0.9726	0.03181	0.1251	0.0045	6.4709	0.14823	0.0273	2.017	0	333
80	"nm"	1	4	"E5"	35	"NM_g533_pop4_rep1"	"E5"	0.9333	0.00761	0.791	0.01211	0.0959	0.00336	4.5032	0.18325	0.0281	2.016	0	533
120	"nm"	1	4	"E6"	36	"NM_g799_pop4_rep1"	"E6"	0.9127	0.00424	0.8583	0.00679	0.1168	0.00239	5.6588	0.09283	0.0183	1.323	0	799
160	"nm"	1	4	"E7"	37	"NM_g1065_pop4_rep1"	"E7"	0.9255	0.00477	0.6635	0.00969	0.1122	0.004	6.2705	0.13011	0.0217	1.699	0	1065
220	"nm"	1	4	"E8"	38	"NM_g1464_pop4_rep1"	"E8"	0.9319	0.00655	0.64	0.01955	0.0951	0.00503	5.8369	0.21208	0.0268	2.151	0	1464
260	"nm"	1	4	"E9"	39	"NM_g1731_pop4_rep1"	"E9"	0.94	0.00838	0.7694	0.0312	0.0981	0.00532	5.512	0.24961	0.031	2.397	0	1731
300	"nm"	1	4	"E10"	40	"NM_g1997_pop4_rep1"	"E10"	0.9419	0.00783	0.766	0.03318	0.1002	0.00543	5.6486	0.23495	0.0296	2.324	0	1997
10	"nm"	2	4	"F2"	41	"NM_g66_pop4_rep2"	"F2"	0.9306	0.00745	0.6654	0.01024	0.1356	0.00787	5.9255	0.18231	0.0333	2.5	0	67
30	"nm"	2	4	"F3"	42	"NM_g200_pop4_rep2"	"F3"	0.9145	0.00648	0.7341	0.00891	0.1217	0.00453	4.7909	0.14355	0.0256	1.863	0	200
50	"nm"	2	4	"F4"	43	"NM_g333_pop4_rep2"	"F4"	0.9359	0.00681	0.9931	0.03369	0.1304	0.00498	6.3223	0.1551	0.0293	2.154	0	333
80	"nm"	2	4	"F5"	44	"NM_g533_pop4_rep2"	"F5"	0.952	0.00655	0.761	0.0097	0.1021	0.00328	4.5016	0.15495	0.0242	1.721	0	533
120	"nm"	2	4	"F6"	45	"NM_g799_pop4_rep2"	"F6"	0.9271	0.00374	0.8602	0.00604	0.1245	0.0024	6.2346	0.08182	0.0172	1.237	0	799
160	"nm"	2	4	"F7"	46	"NM_g1065_pop4_rep2"	"F7"	0.9467	0.00593	0.6613	0.00939	0.1204	0.00499	5.9019	0.15113	0.026	1.957	0	1065
220	"nm"	2	4	"F8"	47	"NM_g1464_pop4_rep2"	"F8"	0.9471	0.00835	0.8704	0.0322	0.1194	0.00538	4.7255	0.19001	0.0293	2.157	0	1464
260	"nm"	2	4	"F9"	48	"NM_g1731_pop4_rep2"	"F9"	0.9403	0.00763	0.6633	0.02305	0.0892	0.00484	5.3054	0.24682	0.0282	2.232	0	1731
300	"nm"	2	4	"F10"	49	"NM_g1997_pop4_rep2"	"F10"	0.9404	0.00669	0.6901	0.02355	0.103	0.00545	5.8301	0.20327	0.0273	2.18	0	1997
10	"nm"	3	4	"G2"	50	"NM_g66_pop4_rep3"	"G2"	0.9146	0.00626	0.6273	0.00806	0.1499	0.00744	5.9109	0.14261	0.0282	2.16	0	67
30	"nm"	3	4	"G3"	51	"NM_g200_pop4_rep3"	"G3"	0.9258	0.00797	0.7524	0.01093	0.1228	0.00535	4.6685	0.17232	0.0309	2.21	0	200
50	"nm"	3	4	"G4"	52	"NM_g333_pop4_rep3"	"G4"	0.9465	0.0068	0.9873	0.03477	0.1344	0.00539	6.3908	0.15551	0.0294	2.144	0	333
80	"nm"	3	4	"G5"	53	"NM_g533_pop4_rep3"	"G5"	0.9196	0.0043	0.8249	0.00717	0.1127	0.00259	5.9622	0.10131	0.0192	1.405	0	533
120	"nm"	3	4	"G6"	54	"NM_g799_pop4_rep3"	"G6"	0.9216	0.00573	0.8721	0.00905	0.1132	0.00288	5.1676	0.12423	0.0232	1.639	0	799
160	"nm"	3	4	"G7"	55	"NM_g1065_pop4_rep3"	"G7"	0.9583	0.00831	0.6588	0.01324	0.1156	0.00536	3.9851	0.18576	0.0283	2.06	0	1065
220	"nm"	3	4	"G8"	56	"NM_g1464_pop4_rep3"	"G8"	0.9572	0.00716	0.588	0.0124	0.115	0.00697	5.8408	0.20791	0.0305	2.357	0	1464
260	"nm"	3	4	"G9"	57	"NM_g1731_pop4_rep3"	"G9"	0.9486	0.00857	0.8755	0.02583	0.1343	0.00563	4.1018	0.16517	0.0289	2.068	0	1731
300	"nm"	3	4	"G10"	58	"NM_g1997_pop4_rep3"	"G10"	0.9427	0.00762	0.7417	0.02728	0.1026	0.00502	4.9673	0.20745	0.0277	2.15	0	1997
0	"m"	1	5	"B2"	2	"M_g0_pop1_rep1"	"B2"	0.8847	0.00114	0.5277	0.08104	0.0281	0.00121	18.5342	0.29086	0.0079	0.853	1	0
20	"m"	1	5	"B3"	3	"M_g133_pop1_rep1"	"B3"	0.9165	0.00151	0.2472	0.00278	0.0445	0.00191	12.6391	0.14674	0.0102	0.998	1	133
40	"m"	1	5	"B4"	4	"M_g266_pop1_rep1"	"B4"	0.9113	0.00135	0.2501	0.0027	0.0453	0.0019	13.3052	0.13731	0.0094	0.926	1	266
60	"m"	1	5	"B5"	5	"M_g399_pop1_rep1"	"B5"	0.9074	0.00131	0.2487	0.00287	0.0435	0.00179	14.0292	0.13891	0.0094	0.937	1	399
100	"m"	1	5	"B6"	6	"M_g666_pop1_rep1"	"B6"	0.9142	0.00161	0.252	0.00292	0.0462	0.0021	12.6041	0.15544	0.0108	1.056	1	666
140	"m"	1	5	"B7"	7	"M_g932_pop1_rep1"	"B7"	0.9133	0.00165	0.3187	0.00305	0.0617	0.00245	12.959	0.12488	0.0113	1.077	1	932
200	"m"	1	5	"B8"	8	"M_g1331_pop1_rep1"	"B8"	0.9056	0.0027	0.3147	0.00567	0.0848	0.00608	11.3201	0.16889	0.0173	1.648	0	1331
240	"m"	1	5	"B9"	9	"M_g1598_pop1_rep1"	"B9"	0.9221	0.0022	0.2987	0.00365	0.0679	0.00377	12.8772	0.1607	0.015	1.429	1	1598
280	"m"	1	5	"B10"	10	"M_g1864_pop1_rep1"	"B10"	0.9247	0.00252	0.2444	0.00351	0.0735	0.00562	11.0954	0.18239	0.0159	1.513	0	1864
1000	"jcvi"	1	5	"B11"	11	"M_jcvi_pop1_rep1"	"B11"	0.93	0.00291	0.6234	0.00754	0.1024	0.0038	15.0286	0.13146	0.0215	1.898	0	6657
0	"m"	2	5	"C2"	12	"M_g0_pop1_rep2"	"C2"	0.8892	0.00122	0.3581	0.027	0.028	0.00081	17.6751	0.15695	0.009	0.955	2	0
20	"m"	2	5	"C3"	13	"M_g133_pop1_rep2"	"C3"	0.9117	0.0013	0.2812	0.0028	0.0405	0.00127	12.1851	0.12464	0.0085	0.832	2	133
40	"m"	2	5	"C4"	14	"M_g266_pop1_rep2"	"C4"	0.9108	0.00122	0.2627	0.00241	0.0484	0.00174	13.2078	0.11567	0.0085	0.833	2	266
60	"m"	2	5	"C5"	15	"M_g399_pop1_rep2"	"C5"	0.9125	0.00146	0.2596	0.00295	0.0488	0.00214	13.8509	0.14139	0.0104	1.025	1	399
100	"m"	2	5	"C6"	16	"M_g666_pop1_rep2"	"C6"	0.9091	0.00175	0.2692	0.00305	0.0509	0.00233	12.3518	0.15371	0.0116	1.131	1	666
140	"m"	2	5	"C7"	17	"M_g932_pop1_rep2"	"C7"	0.9157	0.00151	0.302	0.00286	0.0562	0.00213	12.9514	0.12281	0.0104	0.996	1	932
200	"m"	2	5	"C8"	18	"M_g1331_pop1_rep2"	"C8"	0.9169	0.00278	0.3085	0.00588	0.0822	0.00617	11.3464	0.18034	0.0178	1.681	0	1331
240	"m"	2	5	"C9"	19	"M_g1598_pop1_rep2"	"C9"	0.9255	0.00228	0.3343	0.00355	0.0848	0.00443	12.2764	0.13612	0.0153	1.416	0	1598
280	"m"	2	5	"C10"	20	"M_g1864_pop1_rep2"	"C10"	0.9189	0.0028	0.267	0.00468	0.0783	0.00655	11.4089	0.19796	0.0179	1.705	0	1864
1000	"jcvi"	2	5	"C11"	21	"M_jcvi_pop1_rep2"	"C11"	0.9268	0.00286	0.6174	0.00777	0.0981	0.00361	15.1157	0.13336	0.0211	1.881	0	6657
0	"m"	3	5	"D2"	22	"M_g0_pop1_rep3"	"D2"	0.8883	0.00121	0.3183	0.01712	0.0284	0.00099	17.2319	0.17073	0.009	0.956	1	0
20	"m"	3	5	"D3"	23	"M_g133_pop1_rep3"	"D3"	0.9199	0.00154	0.2602	0.00277	0.0467	0.00195	12.1873	0.14286	0.0102	0.985	1	133
40	"m"	3	5	"D4"	24	"M_g266_pop1_rep3"	"D4"	0.9067	0.00137	0.2536	0.00266	0.0444	0.00179	12.6662	0.13599	0.0093	0.918	1	266
60	"m"	3	5	"D5"	25	"M_g399_pop1_rep3"	"D5"	0.8977	0.0015	0.2768	0.00305	0.051	0.00213	13.7952	0.13709	0.0106	1.057	1	399
100	"m"	3	5	"D6"	26	"M_g666_pop1_rep3"	"D6"	0.9038	0.00159	0.2362	0.00295	0.0395	0.00181	12.221	0.17043	0.0104	1.035	1	666
140	"m"	3	5	"D7"	27	"M_g932_pop1_rep3"	"D7"	0.908	0.00152	0.3191	0.00295	0.057	0.00202	12.9104	0.118	0.0104	1.003	1	932
200	"m"	3	5	"D8"	28	"M_g1331_pop1_rep3"	"D8"	0.9012	0.00282	0.3282	0.00542	0.0908	0.00627	11.151	0.16065	0.018	1.707	0	1331
240	"m"	3	5	"D9"	29	"M_g1598_pop1_rep3"	"D9"	0.9144	0.0022	0.3021	0.0036	0.0701	0.00385	12.777	0.15619	0.015	1.429	1	1598
280	"m"	3	5	"D10"	30	"M_g1864_pop1_rep3"	"D10"	0.9205	0.00296	0.296	0.0053	0.0814	0.00633	10.7691	0.18904	0.0183	1.723	0	1864
1000	"jcvi"	3	5	"D11"	31	"M_jcvi_pop1_rep3"	"D11"	0.9321	0.00294	0.6325	0.00712	0.1042	0.00372	14.5667	0.12729	0.0214	1.863	0	6657
10	"m"	1	5	"E2"	32	"M_g66_pop1_rep1"	"E2"	0.8877	0.00151	0.2501	0.00291	0.0366	0.00141	11.5012	0.1602	0.0095	0.951	1	67
30	"m"	1	5	"E3"	33	"M_g200_pop1_rep1"	"E3"	0.914	0.0015	0.2484	0.0025	0.0509	0.00226	12.0299	0.13473	0.0099	0.962	1	200
50	"m"	1	5	"E4"	34	"M_g333_pop1_rep1"	"E4"	0.901	0.00115	0.2279	0.00281	0.0337	0.00126	13.5282	0.14234	0.008	0.812	2	333
80	"m"	1	5	"E5"	35	"M_g533_pop1_rep1"	"E5"	0.9012	0.00146	0.2449	0.00321	0.0428	0.00199	14.171	0.15924	0.0104	1.055	1	533
120	"m"	1	5	"E6"	36	"M_g799_pop1_rep1"	"E6"	0.8987	0.00181	0.3189	0.00328	0.0658	0.00293	13.2107	0.1344	0.0126	1.218	1	799
160	"m"	1	5	"E7"	37	"M_g1065_pop1_rep1"	"E7"	0.9121	0.0028	0.2953	0.00407	0.0843	0.00591	11.1192	0.16951	0.0178	1.675	0	1065
220	"m"	1	5	"E8"	38	"M_g1464_pop1_rep1"	"E8"	0.9008	0.00261	0.3592	0.00426	0.0885	0.00495	12.7157	0.14949	0.0178	1.676	0	1464
260	"m"	1	5	"E9"	39	"M_g1731_pop1_rep1"	"E9"	0.9116	0.00274	0.2851	0.00472	0.082	0.00616	10.9041	0.17659	0.0172	1.634	0	1731
300	"m"	1	5	"E10"	40	"M_g1997_pop1_rep1"	"E10"	0.9213	0.00352	0.7301	0.01008	0.1085	0.00292	7.261	0.10193	0.0173	1.443	0	1997
10	"m"	2	5	"F2"	41	"M_g66_pop1_rep2"	"F2"	0.896	0.00162	0.2404	0.00283	0.038	0.0016	11.0497	0.16701	0.01	0.996	1	67
30	"m"	2	5	"F3"	42	"M_g200_pop1_rep2"	"F3"	0.9137	0.00145	0.2579	0.00251	0.0538	0.00233	12.5315	0.12753	0.0098	0.958	1	200
50	"m"	2	5	"F4"	43	"M_g333_pop1_rep2"	"F4"	0.9072	0.0013	0.2257	0.00278	0.0333	0.00132	12.4988	0.15786	0.0086	0.863	2	333
80	"m"	2	5	"F5"	44	"M_g533_pop1_rep2"	"F5"	0.91	0.00184	0.3008	0.00364	0.0603	0.00293	14.1913	0.1502	0.0132	1.295	1	533
120	"m"	2	5	"F6"	45	"M_g799_pop1_rep2"	"F6"	0.9107	0.00172	0.2829	0.00299	0.0527	0.00227	12.0812	0.14413	0.0113	1.09	1	799
160	"m"	2	5	"F7"	46	"M_g1065_pop1_rep2"	"F7"	0.9105	0.00216	0.2364	0.00307	0.0604	0.00379	10.7576	0.16974	0.0135	1.302	1	1065
220	"m"	2	5	"F8"	47	"M_g1464_pop1_rep2"	"F8"	0.9048	0.00267	0.3534	0.0043	0.0904	0.0053	12.6507	0.15254	0.0182	1.712	0	1464
260	"m"	2	5	"F9"	48	"M_g1731_pop1_rep2"	"F9"	0.9165	0.00252	0.2448	0.00354	0.0664	0.00481	10.8889	0.18939	0.0157	1.507	1	1731
300	"m"	2	5	"F10"	49	"M_g1997_pop1_rep2"	"F10"	0.913	0.00201	0.6787	0.00865	0.0933	0.00174	8.1466	0.06878	0.0106	0.94	1	1997
10	"m"	3	5	"G2"	50	"M_g66_pop1_rep3"	"G2"	0.8909	0.00173	0.2174	0.0027	0.0377	0.00181	10.2926	0.18163	0.0103	1.028	1	67
30	"m"	3	5	"G3"	51	"M_g200_pop1_rep3"	"G3"	0.9191	0.00152	0.2593	0.00246	0.0577	0.00256	12.1214	0.1256	0.0101	0.969	1	200
50	"m"	3	5	"G4"	52	"M_g333_pop1_rep3"	"G4"	0.9193	0.00124	0.2165	0.0026	0.0325	0.00127	12.4575	0.15442	0.0082	0.815	2	333
80	"m"	3	5	"G5"	53	"M_g533_pop1_rep3"	"G5"	0.9166	0.00152	0.272	0.00302	0.0509	0.00218	13.6896	0.13984	0.0107	1.05	1	533
120	"m"	3	5	"G6"	54	"M_g799_pop1_rep3"	"G6"	0.9159	0.00143	0.3007	0.0026	0.0555	0.00193	12.4229	0.11332	0.0096	0.917	1	799
160	"m"	3	5	"G7"	55	"M_g1065_pop1_rep3"	"G7"	0.9133	0.00255	0.2531	0.00355	0.0755	0.00555	10.8861	0.17426	0.0161	1.534	1	1065
220	"m"	3	5	"G8"	56	"M_g1464_pop1_rep3"	"G8"	0.9232	0.00265	0.3759	0.00449	0.0919	0.00489	12.1863	0.14146	0.0177	1.62	0	1464
260	"m"	3	5	"G9"	57	"M_g1731_pop1_rep3"	"G9"	0.9234	0.00285	0.2904	0.00481	0.0851	0.00653	10.7498	0.17734	0.0177	1.66	0	1731
300	"m"	3	5	"G10"	58	"M_g1997_pop1_rep3"	"G10"	0.9275	0.00382	0.7689	0.0098	0.1193	0.00322	7.0488	0.10035	0.0185	1.504	0	1997
20	"m"	1	6	"B3"	3	"M_g133_pop2_rep1_RR"	"B3"	0.9024	0.00095	0.2135	0.00118	0.0422	0.00128	12.7438	0.09854	0.0065	0.621	2	133
40	"m"	1	6	"B4"	4	"M_g266_pop2_rep1_RR"	"B4"	0.8972	0.00106	0.2361	0.00139	0.0449	0.00146	14.264	0.10988	0.0077	0.739	1	266
60	"m"	1	6	"B5"	5	"M_g399_pop2_rep1_RR"	"B5"	0.8911	0.00401	0.8567	0.01692	0.1527	0.00557	9.7562	0.10723	0.0234	2.076	0	399
100	"m"	1	6	"B6"	6	"M_g666_pop2_rep1_RR"	"B6"	0.8896	0.00145	0.2872	0.003	0.0376	0.00162	24.346	0.20737	0.0136	1.372	1	666
140	"m"	1	6	"B7"	7	"M_g932_pop2_rep1_RR"	"B7"	0.8937	0.0049	0.9058	0.02601	0.1289	0.00443	7.5516	0.12383	0.0242	1.837	0	932
200	"m"	1	6	"B8"	8	"M_g1331_pop2_rep1_RR"	"B8"	0.8899	0.00109	0.3148	0.00156	0.044	0.00099	16.3463	0.10095	0.0084	0.793	1	1331
240	"m"	1	6	"B9"	9	"M_g1598_pop2_rep1_RR"	"B9"	0.8909	0.00103	0.3042	0.00146	0.0401	0.00083	15.418	0.09702	0.0077	0.729	1	1598
280	"m"	1	6	"B10"	10	"M_g1864_pop2_rep1_RR"	"B10"	0.8936	0.00093	0.2964	0.00128	0.0382	7e-04	14.2098	0.08709	0.0067	0.629	1	1864
1000	"jcvi"	1	6	"B11"	11	"M_jcvi_pop2_rep1_RR"	"B11"	0.922	0.00369	0.6211	0.00472	0.1086	0.00436	12.9284	0.14608	0.0252	1.916	0	6657
20	"m"	2	6	"C3"	13	"M_g133_pop2_rep2_RR"	"C3"	0.8968	0.00128	0.2593	0.00166	0.0351	0.00098	11.8767	0.12399	0.0085	0.798	1	133
