"day"	"cell"	"techrep"	"biorep"	"well"	"order"	"sample"	"Curve"	"b0"	"b0.se"	"A"	"A.se"	"umax"	"umax.se"	"L"	"L.se"	"RSME"	"CV"	"outlier"	"gen"
1000	"jcvi"	3	1	"D11"	31	"NM_jcvi_pop1_rep2"	"D11"	0.9722	0.00572	0.8406	0.00941	0.1478	0.0057	8.9273	0.14095	0.0317	2.299	0	6657
10	"nm"	1	1	"E2"	32	"NM_g66_pop1_rep1"	"E2"	0.9267	0.00552	0.751	0.01049	0.0819	0.00255	6.3158	0.17695	0.0238	1.817	0	67
30	"nm"	1	1	"E3"	33	"NM_g200_pop1_rep1"	"E3"	0.9599	0.00776	0.6078	0.01007	0.1291	0.00816	6.3825	0.21115	0.0352	2.644	0	200
50	"nm"	1	1	"E4"	34	"NM_g333_pop1_rep1"	"E4"	0.92	0.0041	0.8234	0.0179	0.122	0.00428	9.2087	0.12416	0.0227	1.827	0	333
80	"nm"	1	1	"E5"	35	"NM_g533_pop1_rep1"	"E5"	0.955	0.00795	0.899	0.0341	0.1096	0.00423	4.6271	0.18315	0.027	1.962	0	533
120	"nm"	1	1	"E6"	36	"NM_g799_pop1_rep1"	"E6"	0.925	0.00971	0.673	0.01249	0.1451	0.01093	5.3329	0.21913	0.0414	3.025	0	799
160	"nm"	1	1	"E7"	37	"NM_g1065_pop1_rep1"	"E7"	0.9412	0.01057	0.7812	0.01424	0.1396	0.00906	5.2363	0.22027	0.0447	3.105	0	1065
220	"nm"	1	1	"E8"	38	"NM_g1464_pop1_rep1"	"E8"	0.8762	0.00903	0.7128	0.01279	0.1064	0.0058	5.0713	0.22299	0.037	2.812	0	1464
260	"nm"	1	1	"E9"	39	"NM_g1731_pop1_rep1"	"E9"	0.9436	0.00573	0.6562	0.01188	0.1455	0.00709	5.9186	0.13558	0.0256	2.098	0	1731
300	"nm"	1	1	"E10"	40	"NM_g1997_pop1_rep1"	"E10"	0.9327	0.00464	0.7234	0.01269	0.1238	0.00416	5.7047	0.1135	0.02	1.643	0	1997
10	"nm"	2	1	"F2"	41	"NM_g66_pop1_rep2"	"F2"	0.9166	0.00614	0.8626	0.0144	0.068	0.00159	5.3084	0.19167	0.0221	1.668	0	67
30	"nm"	2	1	"F3"	42	"NM_g200_pop1_rep2"	"F3"	0.9515	0.007	0.847	0.02959	0.1329	0.00623	5.634	0.16355	0.0286	2.074	0	200
50	"nm"	2	1	"F4"	43	"NM_g333_pop1_rep2"	"F4"	0.9242	0.00438	0.9077	0.0198	0.13	0.0043	9.1385	0.12033	0.0242	1.891	0	333
80	"nm"	2	1	"F5"	44	"NM_g533_pop1_rep2"	"F5"	0.9566	0.00799	0.8988	0.03386	0.12	0.00512	4.8224	0.1811	0.0282	2.035	0	533
120	"nm"	2	1	"F6"	45	"NM_g799_pop1_rep2"	"F6"	0.9595	0.01344	0.7318	0.01613	0.1973	0.01828	5.0625	0.23596	0.0557	3.801	0	799
160	"nm"	2	1	"F7"	46	"NM_g1065_pop1_rep2"	"F7"	0.8825	0.01379	0.8004	0.01998	0.097	0.00579	3.7409	0.31494	0.0455	3.269	0	1065
220	"nm"	2	1	"F8"	47	"NM_g1464_pop1_rep2"	"F8"	0.892	0.01064	0.7015	0.01435	0.1178	0.00808	4.8756	0.25006	0.0429	3.192	0	1464
260	"nm"	2	1	"F9"	48	"NM_g1731_pop1_rep2"	"F9"	0.936	0.0044	0.6371	0.00956	0.1379	0.00541	5.9156	0.10815	0.0198	1.647	0	1731
300	"nm"	2	1	"F10"	49	"NM_g1997_pop1_rep2"	"F10"	0.9364	0.00481	0.6994	0.01103	0.1461	0.0057	6.012	0.11067	0.0218	1.784	0	1997
10	"nm"	3	1	"G2"	50	"NM_g66_pop1_rep3"	"G2"	0.9274	0.0047	0.8272	0.00958	0.0821	0.00187	6.095	0.13912	0.0199	1.488	0	67
30	"nm"	3	1	"G3"	51	"NM_g200_pop1_rep3"	"G3"	0.9577	0.0072	0.7126	0.01362	0.1461	0.00755	5.5935	0.16179	0.0306	2.209	0	200
50	"nm"	3	1	"G4"	52	"NM_g333_pop1_rep3"	"G4"	0.9412	0.00521	1.0131	0.04329	0.1238	0.00465	9.2737	0.14732	0.0277	2.165	0	333
80	"nm"	3	1	"G5"	53	"NM_g533_pop1_rep3"	"G5"	0.9708	0.00611	0.7754	0.01909	0.1314	0.00558	5.297	0.14353	0.0245	1.782	0	533
120	"nm"	3	1	"G6"	54	"NM_g799_pop1_rep3"	"G6"	0.9468	0.01458	0.731	0.01931	0.1166	0.00968	3.9153	0.32945	0.0501	3.472	0	799
160	"nm"	3	1	"G7"	55	"NM_g1065_pop1_rep3"	"G7"	0.9313	0.02266	0.8742	0.0326	0.0964	0.00717	2.805	0.47316	0.0585	3.888	0	1065
220	"nm"	3	1	"G8"	56	"NM_g1464_pop1_rep3"	"G8"	0.8738	0.01647	0.7753	0.02435	0.0935	0.00714	3.6084	0.39732	0.0528	3.847	0	1464
260	"nm"	3	1	"G9"	57	"NM_g1731_pop1_rep3"	"G9"	0.9621	0.00573	0.6711	0.00958	0.1668	0.00736	5.1696	0.11378	0.0242	1.874	0	1731
300	"nm"	3	1	"G10"	58	"NM_g1997_pop1_rep3"	"G10"	0.9583	0.00443	0.6875	0.01029	0.1231	0.00399	5.2116	0.10761	0.0181	1.445	0	1997
0	"nm"	1	2	"B2"	2	"NM_g0_pop2_rep1"	"B2"	0.9483	0.00496	0.8755	0.00827	0.1267	0.00355	7.2176	0.11827	0.0243	1.734	0	0
20	"nm"	1	2	"B3"	3	"NM_g133_pop2_rep1"	"B3"	0.9132	0.01371	0.9126	0.02206	0.109	0.00655	4.6717	0.30062	0.0522	3.592	0	133
40	"nm"	1	2	"B4"	4	"NM_g266_pop2_rep1"	"B4"	0.9314	0.01121	0.7427	0.01528	0.1512	0.01225	6.432	0.2574	0.052	3.778	1	266
60	"nm"	1	2	"B5"	5	"NM_g399_pop2_rep1"	"B5"	0.9255	0.01649	0.7968	0.02458	0.1323	0.01487	5.7297	0.39746	0.0714	5.077	0	399
100	"nm"	1	2	"B6"	6	"NM_g666_pop2_rep1"	"B6"	0.9387	0.01453	0.8136	0.02082	0.146	0.01431	5.8696	0.33267	0.0634	4.419	0	666
140	"nm"	1	2	"B7"	7	"NM_g932_pop2_rep1"	"B7"	0.9312	0.00952	0.6418	0.01225	0.1535	0.01186	6.4345	0.22107	0.0448	3.375	0	932
200	"nm"	1	2	"B8"	8	"NM_g1331_pop2_rep1"	"B8"	0.9378	0.00849	0.7958	0.01174	0.1483	0.00789	6.3503	0.18626	0.039	2.767	0	1331
240	"nm"	1	2	"B9"	9	"NM_g1598_pop2_rep1"	"B9"	0.9512	0.01145	0.7638	0.01419	0.2412	0.02154	6.6227	0.20551	0.0545	3.796	0	1598
