Sample_ID,Area,Mean,Min,Max,IntDen,RawIntDen
1,256,222.129,0,255,56865,56865
2,256,238.066,0,255,60945,60945
3,256,229.102,0,255,58650,58650
4,256,230.098,0,255,58905,58905
5,256,226.113,0,255,57885,57885
6,256,121.523,0,255,31110,31110
7,256,235.078,0,255,60180,60180
8,256,255,255,255,65280,65280
9,256,255,255,255,65280,65280
10,256,255,255,255,65280,65280
11,256,243.047,0,255,62220,62220
12,256,206.191,0,255,52785,52785
13,256,249.023,0,255,63750,63750
14,256,255,255,255,65280,65280
15,256,254.004,0,255,65025,65025
16,256,251.016,0,255,64260,64260
17,256,242.051,0,255,61965,61965
18,256,255,255,255,65280,65280
19,256,241.055,0,255,61710,61710
20,256,244.043,0,255,62475,62475
21,256,247.031,0,255,63240,63240
22,256,246.035,0,255,62985,62985
23,256,255,255,255,65280,65280
24,256,245.039,0,255,62730,62730
25,256,220.137,0,255,56355,56355
26,256,235.078,0,255,60180,60180
27,256,236.074,0,255,60435,60435
28,256,231.094,0,255,59160,59160
29,256,224.121,0,255,57375,57375
30,256,254.004,0,255,65025,65025
31,256,0,0,0,0,0
32,256,0,0,0,0,0
33,256,0,0,0,0,0
34,256,0,0,0,0,0
35,256,0,0,0,0,0
36,256,0,0,0,0,0
