Sample_ID,Area,Mean,Min,Max,IntDen,RawIntDen
1,256,252.012,0,255,64515,64515
2,256,254.004,0,255,65025,65025
3,256,253.008,0,255,64770,64770
4,256,255,255,255,65280,65280
5,256,251.016,0,255,64260,64260
6,256,225.117,0,255,57630,57630
7,256,247.031,0,255,63240,63240
8,256,248.027,0,255,63495,63495
9,256,253.008,0,255,64770,64770
10,256,253.008,0,255,64770,64770
11,256,255,255,255,65280,65280
12,256,252.012,0,255,64515,64515
13,256,255,255,255,65280,65280
14,256,253.008,0,255,64770,64770
15,256,255,255,255,65280,65280
16,256,255,255,255,65280,65280
17,256,255,255,255,65280,65280
18,256,250.02,0,255,64005,64005
19,256,255,255,255,65280,65280
20,256,253.008,0,255,64770,64770
21,256,254.004,0,255,65025,65025
22,256,251.016,0,255,64260,64260
23,256,255,255,255,65280,65280
24,256,253.008,0,255,64770,64770
25,256,255,255,255,65280,65280
26,256,253.008,0,255,64770,64770
27,256,255,255,255,65280,65280
28,256,251.016,0,255,64260,64260
29,256,254.004,0,255,65025,65025
30,256,255,255,255,65280,65280
31,256,255,255,255,65280,65280
32,256,255,255,255,65280,65280
33,256,255,255,255,65280,65280
34,256,255,255,255,65280,65280
35,256,255,255,255,65280,65280
36,256,255,255,255,65280,65280
