Sample_ID,Area,Mean,Min,Max,IntDen,RawIntDen
1,256,228.105,0,255,58395,58395
2,256,236.074,0,255,60435,60435
3,256,227.109,0,255,58140,58140
4,256,235.078,0,255,60180,60180
5,256,231.094,0,255,59160,59160
6,256,189.258,0,255,48450,48450
7,256,220.137,0,255,56355,56355
8,256,238.066,0,255,60945,60945
9,256,238.066,0,255,60945,60945
10,256,233.086,0,255,59670,59670
11,256,240.059,0,255,61455,61455
12,256,232.09,0,255,59415,59415
13,256,237.07,0,255,60690,60690
14,256,234.082,0,255,59925,59925
15,256,241.055,0,255,61710,61710
16,256,251.016,0,255,64260,64260
17,256,247.031,0,255,63240,63240
18,256,241.055,0,255,61710,61710
19,256,243.047,0,255,62220,62220
20,256,228.105,0,255,58395,58395
21,256,247.031,0,255,63240,63240
22,256,241.055,0,255,61710,61710
23,256,255,255,255,65280,65280
24,256,235.078,0,255,60180,60180
25,256,250.02,0,255,64005,64005
26,256,242.051,0,255,61965,61965
27,256,255,255,255,65280,65280
28,256,236.074,0,255,60435,60435
29,256,249.023,0,255,63750,63750
30,256,229.102,0,255,58650,58650
31,256,249.023,0,255,63750,63750
32,256,255,255,255,65280,65280
33,256,246.035,0,255,62985,62985
34,256,255,255,255,65280,65280
35,256,255,255,255,65280,65280
36,256,255,255,255,65280,65280
