Sample_ID,Area,Mean,Min,Max,IntDen,RawIntDen
1,256,240.059,0,255,61455,61455
2,256,252.012,0,255,64515,64515
3,256,243.047,0,255,62220,62220
4,256,251.016,0,255,64260,64260
5,256,241.055,0,255,61710,61710
6,256,220.137,0,255,56355,56355
7,256,241.055,0,255,61710,61710
8,256,247.031,0,255,63240,63240
9,256,255,255,255,65280,65280
10,256,247.031,0,255,63240,63240
11,256,241.055,0,255,61710,61710
12,256,235.078,0,255,60180,60180
13,256,255,255,255,65280,65280
14,256,251.016,0,255,64260,64260
15,256,253.008,0,255,64770,64770
16,256,244.043,0,255,62475,62475
17,256,251.016,0,255,64260,64260
18,256,244.043,0,255,62475,62475
19,256,247.031,0,255,63240,63240
20,256,229.102,0,255,58650,58650
21,256,248.027,0,255,63495,63495
22,256,255,255,255,65280,65280
23,256,250.02,0,255,64005,64005
24,256,245.039,0,255,62730,62730
25,256,238.066,0,255,60945,60945
26,256,251.016,0,255,64260,64260
27,256,255,255,255,65280,65280
28,256,251.016,0,255,64260,64260
29,256,254.004,0,255,65025,65025
30,256,253.008,0,255,64770,64770
31,256,255,255,255,65280,65280
32,256,255,255,255,65280,65280
33,256,255,255,255,65280,65280
34,256,255,255,255,65280,65280
35,256,255,255,255,65280,65280
36,256,255,255,255,65280,65280
