Sample_ID,Area,Mean,Min,Max,IntDen,RawIntDen
1,256,193.242,0,255,49470,49470
2,256,203.203,0,255,52020,52020
3,256,207.188,0,255,53040,53040
4,256,197.227,0,255,50490,50490
5,256,191.25,0,255,48960,48960
6,256,136.465,0,255,34935,34935
7,256,208.184,0,255,53295,53295
8,256,225.117,0,255,57630,57630
9,256,224.121,0,255,57375,57375
10,256,219.141,0,255,56100,56100
11,256,211.172,0,255,54060,54060
12,256,184.277,0,255,47175,47175
13,256,210.176,0,255,53805,53805
14,256,217.148,0,255,55590,55590
15,256,218.145,0,255,55845,55845
16,256,219.141,0,255,56100,56100
17,256,221.133,0,255,56610,56610
18,256,255,255,255,65280,65280
19,256,205.195,0,255,52530,52530
20,256,230.098,0,255,58905,58905
21,256,218.145,0,255,55845,55845
22,256,217.148,0,255,55590,55590
23,256,214.16,0,255,54825,54825
24,256,248.027,0,255,63495,63495
25,256,210.176,0,255,53805,53805
26,256,215.156,0,255,55080,55080
27,256,213.164,0,255,54570,54570
28,256,218.145,0,255,55845,55845
29,256,227.109,0,255,58140,58140
30,256,255,255,255,65280,65280
31,256,0,0,0,0,0
32,256,0,0,0,0,0
33,256,0,0,0,0,0
34,256,0,0,0,0,0
35,256,0,0,0,0,0
36,256,0,0,0,0,0
