 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,177,67.718,55,97,11986.000,11986.000
2,177,71.695,57,95,12690.000,12690.000
3,177,71.237,56,94,12609.000,12609.000
4,177,69.525,55,93,12306.000,12306.000
5,177,64.831,52,92,11475.000,11475.000
6,177,54.316,44,69,9614.000,9614.000
7,177,73.757,57,97,13055.000,13055.000
8,177,78.407,63,95,13878.000,13878.000
9,177,78.220,62,95,13845.000,13845.000
10,177,75.870,61,96,13429.000,13429.000
11,177,68.588,56,96,12140.000,12140.000
12,177,63.599,51,84,11257.000,11257.000
13,177,77.458,63,95,13710.000,13710.000
14,177,81.073,66,94,14350.000,14350.000
15,177,80.243,63,94,14203.000,14203.000
16,177,77.893,60,95,13787.000,13787.000
17,177,72.113,57,95,12764.000,12764.000
18,177,76.605,63,95,13559.000,13559.000
19,177,76.266,63,96,13499.000,13499.000
20,177,79.266,61,94,14030.000,14030.000
21,177,80.418,63,95,14234.000,14234.000
22,177,78.266,61,95,13853.000,13853.000
23,177,74.429,61,95,13174.000,13174.000
24,177,79.333,67,95,14042.000,14042.000
25,177,73.655,62,90,13037.000,13037.000
26,177,79.226,62,94,14023.000,14023.000
27,177,79.576,64,94,14085.000,14085.000
28,177,76.576,59,95,13554.000,13554.000
29,177,74.040,58,92,13105.000,13105.000
30,177,76.181,65,94,13484.000,13484.000
31,177,52.633,46,61,9316.000,9316.000
32,177,53.989,49,60,9556.000,9556.000
33,177,54.254,48,61,9603.000,9603.000
34,177,52.271,46,58,9252.000,9252.000
35,177,50.130,44,57,8873.000,8873.000
36,177,47.932,44,53,8484.000,8484.000
37,177,36.209,33,41,6409.000,6409.000
38,177,44.486,41,50,7874.000,7874.000
39,177,46.689,42,54,8264.000,8264.000
