 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,177,64.034,40,89,11334.000,11334.000
2,177,67.379,43,91,11926.000,11926.000
3,177,69.486,43,92,12299.000,12299.000
4,177,64.734,42,90,11458.000,11458.000
5,177,59.429,37,83,10519.000,10519.000
6,177,53.107,32,72,9400.000,9400.000
7,177,72.345,46,93,12805.000,12805.000
8,177,75.791,50,93,13415.000,13415.000
9,177,75.480,51,93,13360.000,13360.000
10,177,72.548,48,92,12841.000,12841.000
11,177,68.051,44,89,12045.000,12045.000
12,177,61.322,39,84,10854.000,10854.000
13,177,73.040,49,93,12928.000,12928.000
14,177,77.040,47,94,13636.000,13636.000
15,177,75.582,47,93,13378.000,13378.000
16,177,73.819,46,94,13066.000,13066.000
17,177,71.006,46,91,12568.000,12568.000
18,177,72.520,55,89,12836.000,12836.000
19,177,71.198,48,94,12602.000,12602.000
20,177,78.944,51,92,13973.000,13973.000
21,177,75.525,48,93,13368.000,13368.000
22,177,73.452,48,92,13001.000,13001.000
23,177,70.056,47,89,12400.000,12400.000
24,177,75.729,55,92,13404.000,13404.000
25,177,68.780,45,90,12174.000,12174.000
26,177,73.650,50,93,13036.000,13036.000
27,177,72.746,48,93,12876.000,12876.000
28,177,71.831,49,91,12714.000,12714.000
29,177,71.045,47,87,12575.000,12575.000
30,177,75.525,62,89,13368.000,13368.000
31,177,31.119,27,36,5508.000,5508.000
32,177,32.260,28,37,5710.000,5710.000
33,177,32.203,29,36,5700.000,5700.000
34,177,31.554,28,35,5585.000,5585.000
35,177,30.610,27,35,5418.000,5418.000
36,177,28.842,25,34,5105.000,5105.000
37,177,22.831,20,27,4041.000,4041.000
38,177,28.085,25,32,4971.000,4971.000
39,177,28.955,25,35,5125.000,5125.000
