 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,177,63.712,48,89,11277.000,11277.000
2,177,67.028,50,94,11864.000,11864.000
3,177,68.401,49,89,12107.000,12107.000
4,177,66.763,49,91,11817.000,11817.000
5,177,61.384,45,87,10865.000,10865.000
6,177,52.277,38,69,9253.000,9253.000
7,177,72.706,51,95,12869.000,12869.000
8,177,76.503,57,95,13541.000,13541.000
9,177,76.972,58,94,13624.000,13624.000
10,177,74.305,55,95,13152.000,13152.000
11,177,68.927,49,93,12200.000,12200.000
12,177,61.486,44,83,10883.000,10883.000
13,177,74.938,56,94,13264.000,13264.000
14,177,79.237,57,95,14025.000,14025.000
15,177,77.966,56,93,13800.000,13800.000
16,177,75.401,53,96,13346.000,13346.000
17,177,70.311,51,92,12445.000,12445.000
18,177,74.023,61,94,13102.000,13102.000
19,177,72.633,55,95,12856.000,12856.000
20,177,77.785,56,94,13768.000,13768.000
21,177,77.424,55,94,13704.000,13704.000
22,177,75.418,53,94,13349.000,13349.000
23,177,71.243,54,95,12610.000,12610.000
24,177,75.921,60,98,13438.000,13438.000
25,177,70.887,54,90,12547.000,12547.000
26,177,76.650,56,94,13567.000,13567.000
27,177,76.638,56,94,13565.000,13565.000
28,177,73.638,54,93,13034.000,13034.000
29,177,70.910,52,94,12551.000,12551.000
30,177,73.983,61,87,13095.000,13095.000
31,177,45.469,40,52,8048.000,8048.000
32,177,46.096,42,52,8159.000,8159.000
33,177,46.062,42,54,8153.000,8153.000
34,177,44.412,40,50,7861.000,7861.000
35,177,42.644,38,50,7548.000,7548.000
36,177,40.565,35,47,7180.000,7180.000
37,177,30.712,26,37,5436.000,5436.000
38,177,37.339,34,41,6609.000,6609.000
39,177,40.260,36,46,7126.000,7126.000
