 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,177,72.497,64,87,12832.000,12832.000
2,177,74.186,66,88,13131.000,13131.000
3,177,72.774,65,85,12881.000,12881.000
4,177,71.446,63,82,12646.000,12646.000
5,177,67.141,59,77,11884.000,11884.000
6,177,59.446,54,66,10522.000,10522.000
7,177,76.780,69,88,13590.000,13590.000
8,177,80.023,71,93,14164.000,14164.000
9,177,79.893,70,92,14141.000,14141.000
10,177,76.446,67,89,13531.000,13531.000
11,177,71.011,63,81,12569.000,12569.000
12,177,66.887,61,76,11839.000,11839.000
13,177,83.322,74,94,14748.000,14748.000
14,177,84.746,75,93,15000.000,15000.000
15,177,83.073,74,94,14704.000,14704.000
16,177,78.966,70,90,13977.000,13977.000
17,177,73.520,66,86,13013.000,13013.000
18,177,76.028,68,90,13457.000,13457.000
19,177,83.842,77,93,14840.000,14840.000
20,177,83.740,77,95,14822.000,14822.000
21,177,83.282,76,93,14741.000,14741.000
22,177,81.056,72,93,14347.000,14347.000
23,177,77.734,69,90,13759.000,13759.000
24,177,78.017,69,94,13809.000,13809.000
25,177,82.277,75,93,14563.000,14563.000
26,177,85.554,78,93,15143.000,15143.000
27,177,84.689,76,94,14990.000,14990.000
28,177,80.870,73,90,14314.000,14314.000
29,177,77.554,70,92,13727.000,13727.000
30,177,77.294,69,94,13681.000,13681.000
31,177,71.299,64,81,12620.000,12620.000
32,177,71.808,66,80,12710.000,12710.000
33,177,72.650,67,79,12859.000,12859.000
34,177,70.169,65,77,12420.000,12420.000
35,177,67.407,62,76,11931.000,11931.000
36,177,63.881,58,70,11307.000,11307.000
37,177,46.141,42,52,8167.000,8167.000
38,177,56.734,51,63,10042.000,10042.000
39,177,61.672,56,67,10916.000,10916.000
