 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,177,66.271,60,74,11730.000,11730.000
2,177,68.497,63,77,12124.000,12124.000
3,177,67.915,61,75,12021.000,12021.000
4,177,66.023,60,73,11686.000,11686.000
5,177,61.893,54,70,10955.000,10955.000
6,177,57.181,51,64,10121.000,10121.000
7,177,71.661,66,80,12684.000,12684.000
8,177,73.537,68,82,13016.000,13016.000
9,177,72.232,67,81,12785.000,12785.000
10,177,69.610,62,77,12321.000,12321.000
11,177,65.825,59,73,11651.000,11651.000
12,177,62.017,57,69,10977.000,10977.000
13,177,76.424,70,86,13527.000,13527.000
14,177,76.288,71,83,13503.000,13503.000
15,177,74.983,70,83,13272.000,13272.000
16,177,72.023,67,79,12748.000,12748.000
17,177,68.339,63,76,12096.000,12096.000
18,177,67.689,61,78,11981.000,11981.000
19,177,80.441,74,87,14238.000,14238.000
20,177,78.780,74,86,13944.000,13944.000
21,177,76.921,71,85,13615.000,13615.000
22,177,74.932,69,83,13263.000,13263.000
23,177,71.582,66,80,12670.000,12670.000
24,177,71.192,63,97,12601.000,12601.000
25,177,79.367,72,86,14048.000,14048.000
26,177,79.966,72,87,14154.000,14154.000
27,177,78.401,70,86,13877.000,13877.000
28,177,75.271,70,83,13323.000,13323.000
29,177,72.102,66,80,12762.000,12762.000
30,177,71.277,66,80,12616.000,12616.000
31,177,74.311,69,85,13153.000,13153.000
32,177,74.644,69,83,13212.000,13212.000
33,177,75.271,68,82,13323.000,13323.000
34,177,72.944,67,79,12911.000,12911.000
35,177,70.412,65,77,12463.000,12463.000
36,177,67.045,63,74,11867.000,11867.000
37,177,45.254,40,53,8010.000,8010.000
38,177,56.605,52,63,10019.000,10019.000
39,177,62.514,57,70,11065.000,11065.000
