 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,177,63.350,58,71,11213.000,11213.000
2,177,65.768,61,72,11641.000,11641.000
3,177,65.989,62,72,11680.000,11680.000
4,177,64.593,60,72,11433.000,11433.000
5,177,61.379,57,66,10864.000,10864.000
6,177,56.927,51,62,10076.000,10076.000
7,177,68.898,65,76,12195.000,12195.000
8,177,71.243,67,77,12610.000,12610.000
9,177,70.655,67,78,12506.000,12506.000
10,177,68.362,64,74,12100.000,12100.000
11,177,64.972,61,70,11500.000,11500.000
12,177,62.107,58,68,10993.000,10993.000
13,177,73.678,70,79,13041.000,13041.000
14,177,74.740,70,80,13229.000,13229.000
15,177,73.599,70,79,13027.000,13027.000
16,177,71.147,67,76,12593.000,12593.000
17,177,67.395,63,71,11929.000,11929.000
18,177,65.458,56,72,11586.000,11586.000
19,177,77.299,73,82,13682.000,13682.000
20,177,77.712,73,82,13755.000,13755.000
21,177,76.441,72,81,13530.000,13530.000
22,177,73.616,69,80,13030.000,13030.000
23,177,71.051,67,76,12576.000,12576.000
24,177,67.633,59,99,11971.000,11971.000
25,177,77.627,73,82,13740.000,13740.000
26,177,79.831,75,85,14130.000,14130.000
27,177,77.763,74,83,13764.000,13764.000
28,177,75.186,70,80,13308.000,13308.000
29,177,71.492,68,77,12654.000,12654.000
30,177,68.542,64,73,12132.000,12132.000
31,177,76.881,73,82,13608.000,13608.000
32,177,77.932,74,81,13794.000,13794.000
33,177,77.949,73,82,13797.000,13797.000
34,177,74.339,71,79,13158.000,13158.000
35,177,70.345,67,75,12451.000,12451.000
36,177,66.797,63,72,11823.000,11823.000
37,177,45.463,42,50,8047.000,8047.000
38,177,56.492,53,62,9999.000,9999.000
39,177,63.085,60,68,11166.000,11166.000
