 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,177,67.655,56,88,11975.000,11975.000
2,177,71.034,59,97,12573.000,12573.000
3,177,69.633,58,89,12325.000,12325.000
4,177,69.791,57,93,12353.000,12353.000
5,177,65.949,54,87,11673.000,11673.000
6,177,56.842,49,70,10061.000,10061.000
7,177,73.486,62,92,13007.000,13007.000
8,177,78.780,65,96,13944.000,13944.000
9,177,79.209,66,95,14020.000,14020.000
10,177,76.181,63,96,13484.000,13484.000
11,177,69.876,59,91,12368.000,12368.000
12,177,65.249,55,83,11549.000,11549.000
13,177,80.384,66,95,14228.000,14228.000
14,177,82.311,69,95,14569.000,14569.000
15,177,81.571,66,95,14438.000,14438.000
16,177,77.774,64,94,13766.000,13766.000
17,177,72.271,60,93,12792.000,12792.000
18,177,75.808,65,96,13418.000,13418.000
19,177,79.356,67,95,14046.000,14046.000
20,177,81.271,66,94,14385.000,14385.000
21,177,81.689,68,94,14459.000,14459.000
22,177,79.073,66,94,13996.000,13996.000
23,177,75.362,63,93,13339.000,13339.000
24,177,77.000,68,96,13629.000,13629.000
25,177,78.475,67,94,13890.000,13890.000
26,177,83.412,71,93,14764.000,14764.000
27,177,82.345,68,94,14575.000,14575.000
28,177,78.040,66,94,13813.000,13813.000
29,177,75.068,63,91,13287.000,13287.000
30,177,75.271,65,91,13323.000,13323.000
31,177,62.864,57,71,11127.000,11127.000
32,177,63.085,58,70,11166.000,11166.000
33,177,62.836,58,70,11122.000,11122.000
34,177,59.706,55,67,10568.000,10568.000
35,177,56.768,51,64,10048.000,10048.000
36,177,54.424,48,64,9633.000,9633.000
37,177,39.559,34,45,7002.000,7002.000
38,177,48.582,45,57,8599.000,8599.000
39,177,53.175,47,63,9412.000,9412.000
