 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,177,71.056,60,82,12577.000,12577.000
2,177,72.514,66,82,12835.000,12835.000
3,177,71.898,64,81,12726.000,12726.000
4,177,70.175,63,78,12421.000,12421.000
5,177,65.537,59,74,11600.000,11600.000
6,177,59.028,54,67,10448.000,10448.000
7,177,75.260,69,84,13321.000,13321.000
8,177,78.401,72,88,13877.000,13877.000
9,177,78.017,70,89,13809.000,13809.000
10,177,74.780,68,84,13236.000,13236.000
11,177,69.740,64,76,12344.000,12344.000
12,177,66.356,61,73,11745.000,11745.000
13,177,81.977,75,92,14510.000,14510.000
14,177,83.130,76,93,14714.000,14714.000
15,177,80.350,71,90,14222.000,14222.000
16,177,76.859,71,87,13604.000,13604.000
17,177,72.819,68,80,12889.000,12889.000
18,177,73.847,67,86,13071.000,13071.000
19,177,82.576,78,95,14616.000,14616.000
20,177,82.045,76,88,14522.000,14522.000
21,177,81.198,74,89,14372.000,14372.000
22,177,78.977,74,89,13979.000,13979.000
23,177,75.706,69,83,13400.000,13400.000
24,177,76.774,69,95,13589.000,13589.000
25,177,80.605,74,91,14267.000,14267.000
26,177,82.966,77,92,14685.000,14685.000
27,177,81.842,74,94,14486.000,14486.000
28,177,78.531,73,88,13900.000,13900.000
29,177,76.299,69,86,13505.000,13505.000
30,177,76.441,70,84,13530.000,13530.000
31,177,71.288,64,78,12618.000,12618.000
32,177,72.825,67,81,12890.000,12890.000
33,177,73.537,68,80,13016.000,13016.000
34,177,71.650,67,81,12682.000,12682.000
35,177,69.418,63,76,12287.000,12287.000
36,177,66.209,61,74,11719.000,11719.000
37,177,46.898,42,54,8301.000,8301.000
38,177,58.299,54,64,10319.000,10319.000
39,177,61.910,56,69,10958.000,10958.000
