 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,177,69.983,63,80,12387.000,12387.000
2,177,72.492,65,80,12831.000,12831.000
3,177,71.802,66,80,12709.000,12709.000
4,177,70.621,65,79,12500.000,12500.000
5,177,66.616,61,76,11791.000,11791.000
6,177,60.395,54,68,10690.000,10690.000
7,177,74.746,69,84,13230.000,13230.000
8,177,77.859,70,85,13781.000,13781.000
9,177,77.944,71,87,13796.000,13796.000
10,177,75.486,69,85,13361.000,13361.000
11,177,70.520,65,77,12482.000,12482.000
12,177,66.757,60,73,11816.000,11816.000
13,177,81.023,75,89,14341.000,14341.000
14,177,82.706,77,92,14639.000,14639.000
15,177,81.266,75,89,14384.000,14384.000
16,177,77.441,72,85,13707.000,13707.000
17,177,73.565,66,81,13021.000,13021.000
18,177,74.531,66,85,13192.000,13192.000
19,177,82.379,76,91,14581.000,14581.000
20,177,82.621,77,90,14624.000,14624.000
21,177,82.209,77,88,14551.000,14551.000
22,177,80.051,75,86,14169.000,14169.000
23,177,77.305,71,86,13683.000,13683.000
24,177,76.435,68,95,13529.000,13529.000
25,177,79.814,74,90,14127.000,14127.000
26,177,82.881,77,91,14670.000,14670.000
27,177,82.243,76,89,14557.000,14557.000
28,177,79.429,74,88,14059.000,14059.000
29,177,76.876,72,84,13607.000,13607.000
30,177,76.249,70,83,13496.000,13496.000
31,177,72.582,66,82,12847.000,12847.000
32,177,74.825,68,83,13244.000,13244.000
33,177,76.164,70,83,13481.000,13481.000
34,177,73.870,68,85,13075.000,13075.000
35,177,71.655,66,83,12683.000,12683.000
36,177,67.915,62,76,12021.000,12021.000
37,177,48.763,44,56,8631.000,8631.000
38,177,60.525,56,69,10713.000,10713.000
39,177,62.723,55,70,11102.000,11102.000
